0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1,1,1,1,1,1,1,3,4,5,6,7,8,8,8,9,9,9,10,10,10,11,11,12,12,13,13,14,14,15
2,1,1,1,1,1,1,1,3,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,12,12,13,13,14,15,15
3,1,1,1,1,1,1,3,4,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,12,13,13,14,14,15,15
4,1,1,1,1,1,2,3,5,6,7,8,8,8,9,9,9,10,10,10,10,10,11,12,12,13,13,14,15,15,15
5,1,1,1,1,1,3,4,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,12,12,13,13,14,15,15,15
6,1,1,1,1,2,4,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,12,12,13,13,14,15,15,15,15
7,1,1,1,1,3,4,5,6,7,8,8,8,9,9,9,10,10,10,10,11,11,12,12,13,13,14,15,15,15,15
8,1,1,1,2,4,5,6,7,8,8,8,9,9,9,10,10,10,10,10,11,11,12,12,13,14,15,15,15,15,15
